name,address,datetime,temp,feelslike,humidity,windspeed,solarradiation,stations
WYOMING,"1575 Gezon Parkway SW Suite A WYOMING,MI 49509",2022-02-02,26.5,17.6,86.5,13.5,27.3,"72635094860,KY70,KBIV,72539404839,MIHVL,AV649,MISTN,C1502,KGRR"
WYOMING,"1575 Gezon Parkway SW Suite A WYOMING,MI 49509",2022-02-03,18,5.3,67.53,16,94,"KY70,KBIV,AV649,MIHVL,MISTN,C1502,KGRR"
WYOMING,"1575 Gezon Parkway SW Suite A WYOMING,MI 49509",2022-02-04,11,3.6,69.22,10.5,127.8,"KY70,KBIV,MIHVL,AV649,C1502,KGRR"
WYOMING,"1575 Gezon Parkway SW Suite A WYOMING,MI 49509",2022-02-05,15,5.6,78.81,17.5,73.7,"KY70,KBIV,MIHVL,AV649,C1502,KGRR"
WYOMING,"1575 Gezon Parkway SW Suite A WYOMING,MI 49509",2022-02-06,23.6,12.6,67.71,17.8,163.3,"KY70,KBIV,AV649,C1502,KGRR"
FORT MYERS,"12020 Metro Parkway FORT MYERS,FL 33966",2022-01-30,48.1,45.7,40.17,12.7,480.9,"KFMY,72210612835,72210812894,0492W,72203412812,1212W,0369W,TS755"
FORT MYERS,"12020 Metro Parkway FORT MYERS,FL 33966",2022-01-31,53.7,52.6,40.85,9.1,429.8,"KFMY,72210612835,72210812894,0492W,0369W,TS755"
FORT MYERS,"12020 Metro Parkway FORT MYERS,FL 33966",2022-02-01,61.7,61.6,56.28,18.4,434.2,"KFMY,72210612835,72210812894,0492W,1212W,0369W,TS755"
FORT MYERS,"12020 Metro Parkway FORT MYERS,FL 33966",2022-02-02,69.7,69.6,58.45,17.1,357.2,"KPGD,KFMY,72210612835,72210812894,0529W,0492W,KRSW,1212W,0369W,TS755"
FORT MYERS,"12020 Metro Parkway FORT MYERS,FL 33966",2022-02-03,72.4,72.4,65.99,15,405.3,"KPGD,KFMY,0492W,KRSW,1212W,0369W,TS755,0433W"
FORT MYERS,"12020 Metro Parkway FORT MYERS,FL 33966",2022-02-04,73,73.5,76.34,13.8,372.5,"KPGD,KFMY,0492W,KRSW,0369W,TS755,0433W"
FORT MYERS,"12020 Metro Parkway FORT MYERS,FL 33966",2022-02-05,69.3,69.3,80.2,16,193.5,"KPGD,KFMY,0492W,KRSW,1212W,0369W,TS755"
FORT MYERS,"12020 Metro Parkway FORT MYERS,FL 33966",2022-02-06,65.4,65.4,78.34,10.2,191.1,"KPGD,KFMY,0492W,KRSW,1212W,0369W,TS755"
MAUMELLE,"10400 Maumelle Boulevard MAUMELLE,AR 72113",2022-01-30,46.1,43.9,46.11,9.3,238.2,"72340503930,72340313963,E9770,KLIT,LNKA4,72218853985"
MAUMELLE,"10400 Maumelle Boulevard MAUMELLE,AR 72113",2022-01-31,49.3,49.2,52.76,12.1,201.4,"72340503930,72340313963,E9770,KLIT,LNKA4"
MAUMELLE,"10400 Maumelle Boulevard MAUMELLE,AR 72113",2022-02-01,57.7,57.7,64.15,17.2,109.8,"72340503930,72340313963,KLRF,E9770,KLIT,LNKA4"
MAUMELLE,"10400 Maumelle Boulevard MAUMELLE,AR 72113",2022-02-02,47.3,43.4,88.75,18.3,27.4,"72340503930,72340313963,KLRF,KSRC,E9770,KLIT,LNKA4"
MAUMELLE,"10400 Maumelle Boulevard MAUMELLE,AR 72113",2022-02-03,28.7,18.7,79.14,18,30.2,"KHOT,KLRF,KSRC,E9770,KLIT,LNKA4"
MAUMELLE,"10400 Maumelle Boulevard MAUMELLE,AR 72113",2022-02-04,29.8,22.3,65.56,12.3,148.1,"KHOT,KLRF,KSRC,E9770,KLIT,LNKA4"
MAUMELLE,"10400 Maumelle Boulevard MAUMELLE,AR 72113",2022-02-05,31.8,28.1,61.79,8.9,169.5,"KHOT,KRUE,KLRF,E9770,KLIT,LNKA4"
MAUMELLE,"10400 Maumelle Boulevard MAUMELLE,AR 72113",2022-02-06,34.7,33.4,69.61,8,171,"KHOT,KLRF,KSRC,E9770,KLIT,LNKA4"
