name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike
HENRICO,2022-02-17,68.1,43.4,55.3,68.1,39.6,53.6
HENRICO,2022-02-18,65.6,35,53,65.6,31.3,51.6
HENRICO,2022-02-19,51.7,26.9,37.3,51.7,21.9,32.8
HENRICO,2022-02-20,47.9,25.6,34.3,43.8,21.3,30.5
HENRICO,2022-02-21,57.3,35.1,45.7,57.3,29.8,42.7
HENRICO,2022-02-22,54.9,48.3,51.6,54.9,46.1,50.7
STAMFORD,2022-02-15,29.9,13.6,20.9,23,-0.5,11.5
STAMFORD,2022-02-16,44.9,22.7,34.7,38.6,15.1,28.6
STAMFORD,2022-02-17,55.3,36.2,44.5,55.3,31.1,41.1
STAMFORD,2022-02-18,58.7,25.4,42.4,58.7,17.7,37.4
STAMFORD,2022-02-19,40.2,21.3,28.9,31.8,7,20
STAMFORD,2022-02-20,36.4,20.4,27.2,29.1,7.5,18.2
STAMFORD,2022-02-21,49.2,29,37.4,46.6,22.2,33.9
STAMFORD,2022-02-22,46.3,32.8,38.3,41.7,30.1,35.9
SAINT PAUL,2022-02-15,30.6,8.3,20.3,25.2,0.6,12
SAINT PAUL,2022-02-16,24.5,11,19.3,18.4,-1.4,8.4
SAINT PAUL,2022-02-17,11.6,-0.9,6.5,0.7,-9.6,-5.6
SAINT PAUL,2022-02-18,28.8,-1.2,9.9,14.8,-15.4,-6.4
SAINT PAUL,2022-02-19,26.7,-2.8,9.3,14.1,-17.4,-5
SAINT PAUL,2022-02-20,33,21.3,28.3,25.2,9.3,18.6
SAINT PAUL,2022-02-21,18.4,11.2,14.9,5.6,-4.6,0
SAINT PAUL,2022-02-22,17,9.8,12.4,1.9,-5.8,-3.4
PEORIA,2022-02-15,44.5,18.7,32.5,36.7,10.4,25.7
PEORIA,2022-02-16,55.1,42.5,49.1,55.1,34.6,45.4
PEORIA,2022-02-17,42.3,11,26.7,39.5,-2.8,14.1
PEORIA,2022-02-18,29,-10.2,12.3,16.6,-19.3,0
PEORIA,2022-02-19,20.2,-1.8,11.3,8.9,-14,-1
PEORIA,2022-02-20,36.9,17.1,31,30.2,4.1,20.8
PEORIA,2022-02-21,37.8,33.9,35.4,31.5,26.1,29.1
PEORIA,2022-02-22,48.5,28.3,41.2,46.2,19.1,35.6
CINCINNATI,2022-02-15,43.8,14.8,28.6,40,14.8,24.5
CINCINNATI,2022-02-16,56.6,37.5,47.7,56.6,30.1,43.9
CINCINNATI,2022-02-17,61.6,32.8,52.7,61.6,22.4,51.6
CINCINNATI,2022-02-18,35.5,23.6,29.2,28.6,13.1,19.9
CINCINNATI,2022-02-19,31.5,21.8,26.9,23.4,7.6,16.9
CINCINNATI,2022-02-20,49.4,23.4,33.9,43.8,16.3,27.1
CINCINNATI,2022-02-21,53,33.5,42.7,53,28.7,39.3
CINCINNATI,2022-02-22,54.9,46.3,50.8,54.9,42.2,48.8
HOLBROOK,2022-02-15,27.9,13.8,21.1,27.4,4,12.9
HOLBROOK,2022-02-16,46.3,20,35.7,39.5,15.6,29.5
HOLBROOK,2022-02-17,49.7,40.2,45.7,42.1,32.8,38.6
HOLBROOK,2022-02-18,49.9,29.7,42.2,42.9,21.1,33.4
HOLBROOK,2022-02-19,39.6,26.1,32.3,29.6,10.8,21.2
HOLBROOK,2022-02-20,36,24.7,29.9,27.2,10.9,18.6
HOLBROOK,2022-02-21,44.1,35.7,39.3,40.1,26.6,33
HOLBROOK,2022-02-22,45.8,38,41.4,40.8,31.4,36.7
CARROLLTON,2022-02-15,67.6,43.8,56.7,67.6,38.3,55.2
CARROLLTON,2022-02-16,67.2,56,62.2,67.2,56,62.2
CARROLLTON,2022-02-17,63.6,35.7,52.1,63.6,27,47.7
CARROLLTON,2022-02-18,51.2,31.5,40.9,51.2,23.1,37
CARROLLTON,2022-02-19,60.9,42.2,51,60.9,42.2,51
CARROLLTON,2022-02-20,63.9,47.7,55.5,63.9,43.7,54.5
CARROLLTON,2022-02-21,73.5,58.9,64.9,73.5,58.9,64.9
CARROLLTON,2022-02-22,71,57.3,64.6,71,57.3,64.6
WESTLAKE,2022-02-15,29,8,18.7,26.8,0.6,12
WESTLAKE,2022-02-16,56.7,30.6,46.7,56.7,16.6,40.9
WESTLAKE,2022-02-17,54.8,26.7,45.1,54.8,13.4,39.8
WESTLAKE,2022-02-18,26.9,15.7,19.8,18.4,0.9,7.8
WESTLAKE,2022-02-19,30.1,16.1,21.2,16.4,-2.4,6.4
WESTLAKE,2022-02-20,43.2,17.5,29.7,34.2,7.1,19.1
WESTLAKE,2022-02-21,42.9,32.3,38.1,42.9,25.3,33.7
WESTLAKE,2022-02-22,47.6,40,44.2,42.2,34.9,38.6
OXNARD,2022-02-15,65,52.1,56.9,65,52.1,56.9
OXNARD,2022-02-16,69.2,43.6,54.8,69.2,40.2,53.6
OXNARD,2022-02-17,66.8,47,57.1,66.8,41.1,56.2
OXNARD,2022-02-18,64.3,57.5,60.6,64.3,57.5,60.6
OXNARD,2022-02-19,64.7,59.4,61.5,64.7,59.4,61.5
OXNARD,2022-02-20,59.8,56.4,57.9,59.8,56.4,57.9
OXNARD,2022-02-21,57.8,51.3,54.6,57.8,51.3,54.6
OXNARD,2022-02-22,61.4,48.8,54.2,61.4,46.1,53.5
PITTSBURGH,2022-02-15,29.6,10.8,20.6,29,3.8,16.3
PITTSBURGH,2022-02-16,53.9,23.3,38.1,53.9,16,34.2
PITTSBURGH,2022-02-17,59.6,44.3,51.5,59.6,38.7,49
PITTSBURGH,2022-02-18,58.6,22.4,31.7,58.6,11.2,23.9
PITTSBURGH,2022-02-19,29.9,19.5,25.4,19,8.7,14.1
PITTSBURGH,2022-02-20,44.5,19.3,28.7,39.3,11.3,22.6
PITTSBURGH,2022-02-21,51.9,28.8,39.7,51.9,23.5,36.7
PITTSBURGH,2022-02-22,52.1,40.2,46.2,52.1,37.7,44.2
ALBUQUERQUE,2022-02-15,65,31.5,46.7,65,24.9,44.2
ALBUQUERQUE,2022-02-16,56.7,29,42.4,56.7,24.1,39.8
ALBUQUERQUE,2022-02-17,42.9,31.7,37.5,39.2,25.4,32.9
ALBUQUERQUE,2022-02-18,47.7,32.6,39.6,42.7,27.8,34.3
ALBUQUERQUE,2022-02-19,50.4,34.1,41.8,50.4,28.3,39.1
ALBUQUERQUE,2022-02-20,57.6,36.8,46.8,57.6,36.8,46.1
